SMILES y,MW y,mean_corr_activity
Cc(c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)ccc1)c1Br,563.882,58.9
Cc(cc1)cc(Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,563.882,75.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1Br,563.882,11.7
Cc1cc(Br)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1,563.882,72.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cccc1)c1Br,563.882,20.2
N#Cc(cc1Cl)cc(Cl)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,564.859,74.4
Cc(nc(cc1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Br,564.87,71.4
Cc1cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cnc1Br,564.87,82.2
Cc(nc(cc1)Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,564.87,79.7
CS(c(cc1)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1O)(=O)=O,565.049,41.6
Oc(cc(cc1)Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,565.854,47
[O-][N+](c(c1ccccc11)ccc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O,566.016,77.6
[O-][N+](c(cc(cc1NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)Cl)c1O)=O,566.4,81
Oc1cc(Br)cnc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,566.842,53.6
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCCc1c(C(F)(F)F)cccc1,567.009,17.9
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCCc1ccc(C(F)(F)F)cc1,567.009,12.7
COc(cc1)ccc1-c1n[nH]c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1,567.047,66.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(Br)c1F,567.845,61.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc(F)c1)c1Br,567.845,83.1
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(F)ccc1)c1Br,567.845,22.9
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(cc1)Br)c1F,567.845,79.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCCc(cc1)cc(Cl)c1Cl,567.903,12.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCCc(ccc(Cl)c1)c1Cl,567.903,15.3
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NC1CCN(Cc2ccccc2)CC1,568.119,23.8
CN(C1CN(Cc2ccccc2)CC1)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,568.119,35.1
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N1CCN(CCc2ccccc2)CC1,568.119,48.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ncc(F)c1)c1Br,568.833,86.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Br)n1)ccc1F,568.833,83.3
COc(cc1)c(C(F)(F)F)cc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,568.982,43.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1OC(F)(F)F,568.982,25.1
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1OCC(F)(F)F,568.982,63.8
CN(CC1)CCN1c(cccc1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,569.107,75.5
COc(cc(c(Cl)c1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Cl,569.875,77.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N1Cc2nnc(C(F)(F)F)n2CC1,569.974,64.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1N(CCOC1)C1=O,570.047,8.6
COc(cccc1)c1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,570.091,79.7
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCCCN(CC1)CCS1(=O)=O,570.112,19.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1SC(F)(F)F,571.022,58.8
COc1cc(CCN(C2)C(CN(CC3C(Nc4cncc5ccccc45)=O)Cc(cc4)c3cc4Cl)=O)c2cc1OC,571.075,72.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N1CCN(Cc2cc(F)ccc2)CC1,572.082,66.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(C(F)(F)F)cc1)c1Cl,573.401,80.9
NC(c1c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)sc2c1CCCC2)=O,574.103,44.3
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ncc(C(F)(F)F)c1)c1Cl,574.389,83.5
N#Cc(ccc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1Br,574.865,82.6
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCC(c1ccccc1)c1ccccc1,575.11,34.1
CN(C(c1ccccc1)c1ccccc1)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,575.11,65.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Cl)c(nc1F)F)c1Cl,576.817,85
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1OCc1ccccc1,577.082,60.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1Oc1ccccc1,577.082,42
Cc1cc(Br)cc(C)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,577.908,69.5
CN(Cc(cccc1)c1Br)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,577.908,59.5
Cc1cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cc(C)c1Br,577.908,85.9
CCc(cc(cc1)Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,577.908,47.4
CC(c(cc1)ccc1Br)NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,577.908,5.2
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1ncccc1OCc1ccccc1,578.07,78.9
CC(C)(C)OC(N(C)C(CC1)CN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O,578.111,58.9
C[C@@H](CN(CC1)C(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)N1C(OC(C)(C)C)=O,578.111,67.8
C[C@@H](CN(CC1)C(OC(C)(C)C)=O)N1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,578.111,64.6
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCC1c1nc(cccc2)c2[nH]1,579.102,23.9
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1Sc1ccccc1,579.122,80.3
COc(cc(cc1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Br,579.881,67.1
COc(cc(cc1)Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,579.881,70.1
COc(ncc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1Br,580.869,54.8
COc(c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)ncc1Br,580.869,78.7
CC(N(C)N(C1=O)c2ccccc2)=C1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,581.074,20.7
COc1c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)ncc(Br)n1,581.857,84.9
Cc1cc(F)cc(Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,581.872,82
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc(cc1)F)c1Br,581.872,16.6
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(ccc(Br)c1)c1F,581.872,18.7
Cc(cc(c(F)c1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Br,581.872,77.3
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCC1NC(c1ccccc1)=O,582.102,70.7
CCN(CC1)CCN1c(cc1)ccc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,583.134,2.6
[O-][N+](c(cc1)cc(C(F)(F)F)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O,583.953,83
[O-][N+](c(cc(C(F)(F)F)cc1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O,583.953,82.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(cc1)Cl)c1Br,584.3,80.2
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cccc(Cl)c1Br,584.3,82.5
[O-][N+](c1cccc(N(CC2)CCN2C(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1)=O,585.062,77
[O-][N+](c(cccc1)c1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O,585.062,67.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCC(c1cnccc1)N1CCOCC1,585.106,34.9
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(nc1)cc(Cl)c1Br,585.288,81.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(Cl)cnc1Br,585.288,81.9
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cn1)cc(Br)c1Cl,585.288,83.6
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Br)c1F)ccc1F,585.835,79.6
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(F)cc(Br)c1)c1F,585.835,83.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1F)cc(F)c1Br,585.835,85.2
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(c(F)c1)F)c1Br,585.835,80.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(nc1Cl)cnc1Br,586.276,81
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(nnc(Cl)c1)c1Br,586.276,77.7
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ncc(Br)n1)c1Cl,586.276,66.3
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1-c1nc(cccc2)c2[nH]1,587.081,84.7
CN(CC1)CCN1c(ccc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1F,587.097,8.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)C(c2ccccc2)c2c1cccc2,587.121,66.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)cc(C(F)(F)F)c1Cl,587.428,34.1
CCn1c(ccc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c2)c2c2c1cccc2,588.109,78.3
Cc(ccc(Cl)c1)c1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,588.537,85.2
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(cc1)Cl)c1OC(F)(F)F,589.4,87.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc(OC(F)(F)F)c1)c1Cl,589.4,85.2
OC(CC1)(CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c(cc1)ccc1Cl,589.521,77.1
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1n[nH]c(cc2)c1cc2Br,589.88,75.8
COc(cc(c(cccc1)c1o1)c1c1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,591.065,77.8
O[C@H]([C@@H](c1ccccc1)NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1ccccc1,591.109,13.2
CC(C)(C)OC(N(CC1)CCC1N(C)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O,592.138,74.1
CC(C)(C)c(cc1NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)nn1-c1ccccc1,593.129,84.5
[O-][N+](c(cc(cc1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Br)=O,594.852,83.4
[O-][N+](c1cncc(Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O,595.84,81.1
CC(N(C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c(cc1)cc(C(F)(F)F)c1N)=O,596.008,84.8
CN(Cc(cccc1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)C1CCCCC1,596.173,36.1
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1I,596.851,50.9
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cccc(I)c1,596.851,63.2
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1I,596.851,81.6
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1c1nsc2c1cccc2,597.141,79.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1Oc(cccc1)c1Cl,597.5,88
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1Oc(cc1)ccc1Cl,597.5,84.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccnc1)c1I,597.839,79.1
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ncc1I,597.839,86.2
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1C(OCc1ccccc1)=O,598.101,87.5
Cc(c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)cc(Br)c1Cl,598.327,82.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1ccc(cc(cc2)Br)c2c1,599.915,83.3
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c1ccccc11)ccc1Br,599.915,78.2
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc1nccnc11)c1Br,601.891,50.8
Cc1c(-c(cc2)ccc2Cl)nc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)s1,602.545,73.3
OC[C@H]([C@H](C1)O)O[C@H]1N(C=CC(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=N1)C1=O,605.049,77.8
CCN(CC)S(c(cc1)ccc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)(=O)=O,606.145,87
N#Cc1c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)n(-c(cc2)ccc2[N+]([O-])=O)nc1,607.029,83.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(C(F)(F)F)cc1)c1N1CCCC1,608.062,75.2
Cc(cc1[N+]([O-])=O)cc(Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,608.879,84.5
Cc(c([N+]([O-])=O)c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)nc1)c1Br,609.867,71.1
CCC(CCC(N1C(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)=O)(c(cc2)ccc2N)C1=O,610.112,34.8
Cc(ccc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1I,610.878,64.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1I,610.878,16.2
Cc(cc(cc1)I)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,610.878,84.8
Cc(cc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)nc1)c1I,611.866,80.6
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(Cl)c1OCc1ncccc1,612.515,79.7
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc(F)c1)c1I,614.841,75.3
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc(I)c1)c1F,614.841,68.3
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(F)c1I,614.841,80.7
COc(cc1c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)nc(Cl)nc1c1)c1OC,617.491,79
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(C(F)(F)F)cc(Br)c1,617.852,78.9
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(C(F)(F)F)c1Br,617.852,80.1
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc(Br)c1Cl)c1Cl,618.745,79.7
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Cl)cc(Cl)c1)c1Br,618.745,81.2
Cc(nc1)cn1-c1cc(C(F)(F)F)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1,619.045,79.8
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(nc1)nc(C(F)(F)F)c1Br,619.828,87.4
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1c(cc1)ncc1Br,619.949,75.7
N#Cc(cc1)cc(I)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O,621.861,84.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,622.089,76.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1nc(-c(cc2)cc(Cl)c2Cl)cs1,622.963,24.6
Cc1cccc(C)c1NC(CN(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O,625.171,65.5
O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1C(C1Oc(cccc2)c2OC1)=O,626.111,72.3