Well,HOAt,Acid,P,random stuff,comment,yield,Plate Well,SMILES
A1,36,35,0,29,,0%,A1,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)c(C(F)(F)F)cc1F
A2,45,17,20,18,,36%,A10,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1ncc(C(F)(F)F)cc1
A3,45,42,0,13,,0%,A11,N#Cc(ccc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1Br
A4,35,29,32,4,,49%,A12,CCN(CC1)CCN1c(cc1)ccc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
A5,46,0,49,5,,91%,A13,CCN(CC)S(c(cc1)ccc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)(=O)=O
A6,48,23,22,7,,42%,A14,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1OCC(F)(F)F
A7,49,0,45,6,,88%,A15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N1CCC(Cc2ccccc2)CC1
A8,54,46,0,0,,0%,A16,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1Oc1ccccc1
A9,45,36,0,19,,0%,A17,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)cc(C(F)(F)F)c1Cl
A10,62,0,38,0,,100%,A18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Cl)c(nc1F)F)c1Cl
A11,41,35,24,0,,41%,A19,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(N2CCOCC2)ccc1
A12,47,0,53,0,,100%,A2,CC(CC(C1)C2)(CC1(C)C1)CC12NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
A13,34,29,0,37,,0%,A3,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ncc1I
A14,50,32,9,9,,18%,A4,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1Oc1ccccc1
A15,69,5,26,0,,84%,A5,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCCc1ccc(C(F)(F)F)cc1
A16,50,8,33,9,,66%,A6,CN(C(c1ccccc1)c1ccccc1)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
A17,46,33,3,18,,6%,A7,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1C(C1Oc(cccc2)c2OC1)=O
A18,42,38,0,20,,0%,A8,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccnc1)c1Br
A19,47,0,52,1,,98%,A9,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(Cl)c1Cl
B1,30,30,0,40,amine,0%,B1,CSc(nc1NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)ncc1C#N
B2,36,35,0,29,,0%,B10,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N1CCN(CCc2ccccc2)CC1
B3,59,0,38,3,,93%,B11,[O-][N+](c1cccc(Cl)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
B4,50,49,0,1,,0%,B12,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(F)c1Cl)ccc1Cl
B5,45,7,47,1,,85%,B13,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1Sc1ccccc1
B6,46,0,44,10,,81%,B14,Oc(cc1)ccc1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
B7,41,18,38,3,,64%,B15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1Oc(cc1)ccc1Cl
B8,34,18,12,36,"two products (amide 9%, ester 3%)",18%,B16,CN(CC1)CCN1C(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
B9,27,28,0,45,amine,0%,B17,CC(C)c1nc(CN(C)C(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cs1
B10,45,13,37,5,,67%,B18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1OC(F)(F)F
B11,33,38,0,29,,0%,B19,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NC(c1ccccc1)c1ccccc1
B12,34,36,0,30,amine,0%,B2,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Cl)cc(Cl)c1)c1Br
B13,28,29,0,43,amine,0%,B3,OC(CC1)(CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c(cc1)ccc1Cl
B14,55,38,2,5,,4%,B4,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(Br)cnc1
B15,36,0,49,15,amine,77%,B5,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc2c1scn2
B16,62,0,38,0,,100%,B6,Cc(cc1)cc2c1[nH]cc2CCNC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
B17,53,0,47,0,,100%,B7,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1-c1ncccc1
B18,50,0,40,10,,80%,B8,Oc1ccc(cccc2NC(CN(CC3C(Nc4cncc5ccccc45)=O)Cc(cc4)c3cc4Cl)=O)c2c1
B19,50,0,47,3,,94%,B9,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1nc(cc(cc2)Cl)c2s1
C1,35,35,0,30,,0%,C1,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(C(F)(F)F)cc1)c1Cl
C2,20,16,0,64,amine 54%,0%,C10,Cc(cc(cc1)I)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
C3,59,18,9,14,,22%,C11,Cc(nc(cc1)Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
C4,43,2,49,6,,86%,C12,COc(cc(c(cccc1)c1o1)c1c1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
C5,42,0,44,14,amine 11%,76%,C13,[O-][N+](c(cc(C(F)(F)F)cc1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
C6,38,36,0,26,amine 24%,0%,C14,CCCOc(cc1)ccc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
C7,31,29,0,40,amine 38%,0%,C15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(c(F)c1)F)c1Br
C8,49,6,45,0,,88%,C16,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1OC(F)F
C9,35,33,0,32,AMINE 32%,0%,C17,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)cc2c1OCO2
C10,38,0,49,13,AMINE ,79%,C18,CC(C)(C)OC([C@@H](CCC1)N1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
C11,36,34,29,1,,45%,C19,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1I
C12,23,17,4,56,,5%,C2,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(C(N2)=O)c1C2=O
C13,26,24,0,50,amine 49%,0%,C3,Cc1ccc(cccc2NC(CN(CC3C(Nc4cncc5ccccc45)=O)Cc(cc4)c3cc4Cl)=O)c2n1
C14,46,0,52,2,,96%,C4,CS(c(cc1)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1O)(=O)=O
C15,39,37,0,24,amine,0%,C5,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1c1nsc2c1cccc2
C16,46,0,51,3,,94%,C6,COc(cc1)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Cl
C17,44,0,39,17,,70%,C7,Cc1c(-c(cc2)ccc2Cl)nc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)s1
C18,56,0,44,0,,100%,C8,OC[C@H]([C@H]([C@@H]([C@H]1NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)O)O)OC1O
C19,43,0,39,18,,68%,C9,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ncc(C(F)(F)F)c1)c1Cl
D1,38,42,0,20,amine,0%,D1,COc(c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)ccc1)c1Cl
D2,50,50,0,0,,0%,D10,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1Cl)cc(Cl)c1F
D3,34,31,0,35,,0%,D11,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cccc(Br)n1
D4,39,34,6,21,amine 21,10%,D12,COc(cccc1)c1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
D5,51,49,0,0,,0%,D13,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(cc1)Br)c1F
D6,31,36,1,32,amine ,1%,D14,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc1cc(Cl)cc(Cl)c1
D7,36,27,13,24,amine,20%,D15,Cc(cc(c(F)c1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Br
D8,34,35,0,31,amine,0%,D16,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cccc1)c1Br
D9,43,28,12,17,,21%,D17,CN(Cc(cc1)ccc1Cl)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
D10,32,35,0,33,,0%,D18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(nc1)cc(Cl)c1Br
D11,28,28,0,44,,0%,D19,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1F)cc(F)c1F
D12,50,0,50,0,,100%,D2,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NC(NC1=O)=Nc2c1nc[nH]2
D13,40,39,21,0,,35%,D3,COc(c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)ncc1Br
D14,52,0,48,0,,100%,D4,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(OC(F)(F)F)ccc1
D15,36,35,0,29,amine,0%,D5,Cc(cc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)nc1)c1I
D16,53,23,14,10,,30%,D6,Cc(cc1)cc2c1nc(NC(CN(CC1C(Nc3cncc4ccccc34)=O)Cc(cc3)c1cc3Cl)=O)s2
D17,54,0,41,5,,89%,D7,COc(cc(cc1)Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
D18,32,31,0,37,amine,0%,D8,COc1cc(Cl)nc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)n1
D19,54,0,39,7,,85%,D9,Cc1cc(Br)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1
E1,39,19,26,16,,43%,E1,Oc1cc(Br)cnc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
E2,23,27,30,20,13% pyrazole amide,39%,E10,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1SC(F)(F)F
E3,42,0,55,3,,95%,E11,COc1cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cc(OC)c1
E4,48,0,49,3,,94%,E12,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cccc(Cl)c1Br
E5,32,29,3,36,amine,4%,E13,[O-][N+](c(cc(cc1)O)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
E6,54,0,21,25,,46%,E14,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1OCc1ccccc1
E7,41,0,44,15,,75%,E15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1c(Cc2ccccc2)cccc1
E8,37,36,0,27,amine,0%,E16,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc2c1OCCO2
E9,45,0,55,0,,100%,E17,CC(c(cc1)ccc1Br)NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
E10,40,27,13,20,amine,22%,E18,CC(C=C(C)N1C(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)=C(CN)C1=O
E11,25,23,0,52,amine,0%,E19,OC[C@H]([C@H](C1)O)O[C@H]1N(C=CC(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=N1)C1=O
E12,37,36,0,27,amine,0%,E2,COc(cc1)ccc1-c1n[nH]c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1
E13,26,36,33,5,,45%,E3,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1c1ncccn1
E14,40,7,53,0,,88%,E4,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1Br
E15,42,33,25,0,,43%,E5,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(F)c1I
E16,44,0,55,1,,98%,E6,CN(CC1)CC(c2ccccc2)N1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
E17,52,0,46,2,,96%,E7,Cc(ccc(Cl)c1)c1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
E18,51,49,0,0,,0%,E8,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Br)n1)ccc1F
E19,51,40,9,0,,18%,E9,[O-][N+](c1ccc(CNC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cc1)=O
F1,45,0,54,1,,98%,F1,CCOc1c(CNC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cccc1
F2,39,3,55,3,,90%,F10,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(cc1)Cl)c1Br
F3,40,0,52,8,,87%,F11,[O-][N+](c(cccc1)c1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
F4,50,0,50,0,,100%,F12,Cc(c(F)c1)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Cl
F5,32,31,37,0,,54%,F13,N#Cc(cc1)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Cl
F6,29,29,0,42,amine,0%,F14,[O-][N+](c(cc(cc1NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)Cl)c1O)=O
F7,38,0,56,6,,90%,F15,Cc(cc1)cc(Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
F8,38,41,0,21,,0%,F16,CN(C1CN(Cc2ccccc2)CC1)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
F9,46,9,36,9,,67%,F17,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(F)cc(F)c1)c1Cl
F10,19,21,0,60,amine,0%,F18,CC(c1cccc2ccccc12)NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
F11,51,1,48,0,,98%,F19,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(ccc(Br)c1)c1F
F12,40,41,0,19,amine,0%,F2,COc(cc1)c(C(F)(F)F)cc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
F13,30,32,0,38,amine,0%,F3,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1c(cc1)ncc1Br
F14,32,0,46,22,,68%,F4,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCC(c1ccccc1)c1ccccc1
F15,41,41,0,18,amine,0%,F5,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1-c1ccccc1
F16,58,2,21,19,,50%,F6,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ncc(Br)n1)c1Cl
F17,44,45,0,11,,0%,F7,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1n[nH]cc1Br
F18,38,10,32,20,,52%,F8,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1C(F)(F)F)c1F
F19,46,16,19,19,,35%,F9,Oc(cc(cc1)Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
G1,53,44,0,3,,0%,G1,CCS(N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)(=O)=O
G2,22,21,0,57,amine,0%,G10,COc(cc(c(Cl)c1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Cl
G3,41,39,18,2,,31%,G11,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1F)cc(F)c1Br
G4,29,29,0,42,amine,0%,G12,CC(C)Sc(cccc1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
G5,35,35,0,30,amine,0%,G13,N#Cc(cc1Cl)cc(Cl)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
G6,24,23,0,53,amine,0%,G14,[O-][N+](c(cc(cc1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Br)=O
G7,50,50,0,0,,0%,G15,CCc(cc(cc1)Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
G8,51,0,49,0,,100%,G16,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc(cc1)F)c1Br
G9,38,0,53,9,,85%,G17,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc1cccc(F)c1Cl
G10,27,1,47,25,amine 24%,64%,G18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1nccc(C(F)(F)F)c1
G11,40,39,0,21,amine,0%,G19,C[C@@H](c(cc1)ccc1OC)NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
G12,39,36,25,0,,41%,G2,CN(C(c(cc1)c2cc1NC(CN(CC1C(Nc3cncc4ccccc34)=O)Cc(cc3)c1cc3Cl)=O)=O)C2=O
G13,27,24,0,49,amine,0%,G3,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(F)c1)cc(Cl)c1F
G14,30,28,0,42,,0%,G4,CC(N(C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c(cc1)cc(C(F)(F)F)c1N)=O
G15,41,31,23,5,,39%,G5,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cccnc1Br
G16,54,0,46,0,,100%,G6,Cc(cc1)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1[N+]([O-])=O
G17,49,46,0,5,,0%,G7,COc1cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)nc(OC)n1
G18,52,48,0,0,,0%,G8,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)Cc2c1c(cccc1)c1[nH]2
G19,55,0,45,0,,100%,G9,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1Oc(cccc1)c1Cl
H1,33,0,64,3,,96%,H1,[O-][N+](c1cccc(N(CC2)CCN2C(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1)=O
H2,38,21,23,18,,37%,H10,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1nc(-c(cc2)cc(Cl)c2Cl)cs1
H3,35,34,0,31,,0%,H11,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc(I)c1)c1F
H4,36,36,0,28,,0%,H12,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc(OC(F)(F)F)c1)c1Cl
H5,33,31,5,31,amine,7%,H13,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(Cl)cnc1Br
H6,58,0,42,0,,100%,H14,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCC1Oc1ccccc1
H7,49,51,0,0,,0%,H15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1I
H8,24,23,0,53,amine,0%,H16,COc1cc(OC)c(CNC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cc1
H9,31,31,0,38,amine,0%,H17,C[C@@H](c(cc1)ccc1[N+]([O-])=O)NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
H10,56,1,43,0,,98%,H18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(O2)c1OC2(F)F
H11,35,19,21,25,,32%,H19,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1-n1nccc1
H12,39,39,0,22,,0%,H2,COc(cc(cc1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Br
H13,33,33,0,34,amine,0%,H3,CC(C)(C)c(cc1NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)nn1-c1ccccc1
H14,53,0,47,0,,100%,H4,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1nc(C(F)(F)F)ccc1
H15,38,37,0,25,amine,0%,H5,Cc1cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cnc1Br
H16,48,0,48,4,,92%,H6,Cc1cccc(C)c1NC(CN(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
