Well,HOAt,Acid,P,random stuff,comment,yield,Plate Well,SMILES
H17,47,0,53,0,,100%,H7,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1ncccc1C(F)(F)F
H18,45,20,27,8,,49%,H8,N#Cc1c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)n(-c(cc2)ccc2[N+]([O-])=O)nc1
H19,58,0,39,3,,93%,H9,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(nc1)cnc1Br
I1,33,5,29,33,,43%,I1,COc(ncc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1Br
I2,48,46,0,6,amine,0%,I10,[O-][N+](c(cc1)cc(C(F)(F)F)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
I3,55,0,43,2,,96%,I11,Cc1cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cc(C)c1Br
I4,43,12,41,4,,72%,I12,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1ncccc1OCc1ccccc1
I5,28,16,0,100,,0%,I13,NC(c(cc1)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Cl)=O
I6,30,30,0,40,amine 34%,0%,I14,Cc(cc1[N+]([O-])=O)cnc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
I7,32,30,0,38,amine 33%,0%,I15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NC1CCN(Cc2ccccc2)CC1
I8,35,33,0,32,,0%,I16,C[C@@H](CN(CC1)C(OC(C)(C)C)=O)N1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
I9,41,29,13,17,,22%,I17,COc1cc(CNC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cc(OC)c1
I10,29,26,0,45,amine,0%,I18,CCOc1ccc(CNC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)cc1
I11,40,4,45,11,,75%,I19,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc1ccccc1
I12,39,40,0,21,amine,0%,I2,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Cl)cnc1)c1Cl
I13,33,26,0,41,amine,0%,I3,CN(Cc(cccc1)c1Br)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
I14,32,31,,37,amine,0%,I4,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1-n1cncc1
I15,66,0,34,0,,100%,I5,Oc(c1ccccc1cc1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
I16,61,1,38,0,,97%,I6,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(C(F)(F)F)cc1)c1N1CCCC1
I17,54,0,41,5,,89%,I7,N#Cc(cc(cc1)Cl)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
I18,52,0,45,3,,94%,I8,Cc(c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)cc(Br)c1Cl
I19,55,0,42,3,,93%,I9,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cccc(Br)c1
J1,49,0,51,0,,100%,J1,CCN(Cc(cc1)ccc1F)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
J2,39,39,22,0,,36%,J10,Oc(cccc1)c1N(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
J3,56,0,44,0,,100%,J11,COc(cc1c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)nc(Cl)nc1c1)c1OC
J4,39,11,37,13,amine 10%,61%,J12,COc(cc(CNC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)cc1)c1O
J5,38,10,11,41,,18%,J13,N#Cc(c(F)c1)cc(F)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
J6,22,22,0,56,amine,0%,J14,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(C(F)(F)F)c1Br
J7,49,0,49,2,,96%,J15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c1ccccc11)ccc1Br
J8,49,0,51,0,,100%,J16,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CC=C1c1ccccc1
J9,21,23,,56,amine,0%,J17,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cccc(I)c1
J10,55,0,45,0,,100%,J18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(c(Cl)ccc1)c1Cl
J11,17,20,0,63,amine 55%,0%,J19,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1ccccc1
J12,48,,52,0,,100%,J2,Cc(c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)ccc1)c1Br
J13,25,27,0,48,amine  47%,0%,J3,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCC1C(F)(F)F
J14,34,33,2,31,amine 31%,3%,J4,Cc(ccc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1Br
J15,29,28,0,43,amine,0%,J5,Oc(c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)cc(Cl)c1)c1Cl
J16,48,0,52,0,,100%,J6,CC(c(ccc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1O1)=CC1=O
J17,37,25,15,23,amine,24%,J7,COc1cc(CCN(C2)C(CN(CC3C(Nc4cncc5ccccc45)=O)Cc(cc4)c3cc4Cl)=O)c2cc1OC
J18,52,0,48,0,,100%,J8,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCCc(ccc(Cl)c1)c1Cl
J19,49,0,51,0,,100%,J9,COc(cc1)cc([N+]([O-])=O)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
K1,30,0,43,27,,61%,K1,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)ccc1-c1ccccc1
K2,29,27,0,44,,0%,K10,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(F)ccc1)c1Br
K3,45,0,51,4,,93%,K11,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc(cc1)Cl)c1OC(F)(F)F
K4,50,18,0,32,,0%,K12,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1nnc(-c2ccncc2)s1
K5,56,0,41,3,,93%,K13,[O-][N+](c(c(F)ccc1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
K6,50,0,48,2,,96%,K14,Cc(c([N+]([O-])=O)c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)nc1)c1Br
K7,55,1,32,12,,71%,K15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1)c1-c1nc(cccc2)c2[nH]1
K8,41,39,19,1,,32%,K16,CCOC(C(CCC1)CN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
K9,28,1,48,23,amine,67%,K17,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCCc(cc1)cc(Cl)c1Cl
K10,38,10,47,5,,76%,K18,CC(C)(C)N(Cc1ccccc1)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
K11,39,38,0,23,,0%,K19,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N1CCOCC1
K12,51,49,0,0,,0%,K2,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(nc1)nc(C(F)(F)F)c1Br
K13,27,26,0,47,amine,0%,K3,CN(Cc1cc([N+]([O-])=O)ccc1)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
K14,29,26,0,45,amine,0%,K4,Oc(c(Cl)cc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1Cl
K15,48,46,5,1,,10%,K5,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N1Cc2nnc(C(F)(F)F)n2CC1
K16,59,0,41,0,,100%,K6,OC(CNC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c(cc1)ccc1O
K17,56,0,42,2,,95%,K7,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N1CCN(Cc2cc(F)ccc2)CC1
K18,52,48,0,0,,0%,K8,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc(F)c1)c1Br
K19,51,0,47,2,,96%,K9,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(-c2ccccc2)ccc1
L1,45,5,49,1,,89%,L1,CC(C)(C)c(cc1)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1O
L2,25,25,0,50,amine,0%,L10,Cc(cc(c(OC)c1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Cl
L3,32,33,0,35,amine,0%,L11,N#Cc(cc1)cc(I)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
L4,40,0,50,10,,83%,L12,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1-c1ccccc1
L5,49,39,12,0,,24%,L13,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(F)cc(Br)c1)c1F
L6,31,31,0,38,amine,0%,L14,Cc(nc1Cl)nc(Cl)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
L7,37,37,0,26,amine,0%,L15,Cc(cc1[N+]([O-])=O)cc(Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
L8,39,6,40,15,,66%,L16,OC[C@@H](Cc1ccccc1)NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
L9,55,1,44,0,,98%,L17,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1C(C1CC1)=O
L10,37,37,0,26,,0%,L18,Cc1n[nH]c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Br
L11,25,25,0,50,amine,0%,L19,[O-][N+](c(cc1)ccc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
L12,33,2,44,21,,66%,L2,N#Cc1c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)n(-c2ncccc2)nc1
L13,35,35,0,30,,0%,L3,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Cl)n1)ccc1Cl
L14,33,32,0,35,amine,0%,L4,CN(Cc1cccc2ccccc12)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
L15,25,25,0,50,amine,0%,L5,OCCn1c(ncnc2NC(CN(CC3C(Nc4cncc5ccccc45)=O)Cc(cc4)c3cc4Cl)=O)c2nc1
L16,52,1,47,0,,98%,L6,COc1c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)ncc(Br)n1
L17,51,2,45,2,,92%,L7,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ncc(F)c1)c1Br
L18,46,,33,21,,61%,L8,Cc(ccc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1I
L19,21,19,0,60,amine,0%,L9,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCC1c1nc(cccc2)c2[nH]1
M1,59,5,30,6,,73%,M1,OC(CC(C1)C2)(CC1C1)CC12NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
M2,49,38,,13,amine,0%,M10,CC(C)(C)c1csc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)n1
M3,58,6,32,4,,76%,M11,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cn1)cc(Br)c1Cl
M4,43,31,0,26,,0%,M12,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(Br)c1F
M5,41,36,0,23,amine 21%,0%,M13,C[C@@H](CN(CC1)C(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)N1C(OC(C)(C)C)=O
M6,46,39,0,15,,0%,M14,[O-][N+](c(c1ccccc11)ccc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
M7,45,19,14,22,,25%,M15,CN(CC1)CCN1c(cccc1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
M8,31,27,0,42,amine,0%,M16,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCCc1c(C(F)(F)F)cccc1
M9,31,69,0,0,,0%,M17,COc1cccc(CNC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1OC
M10,53,47,0,0,,0%,M18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc(cc1)cc(Cl)c1F
M11,36,31,0,33,amine,0%,M2,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc(F)c1)c1I
M12,50,24,16,10,,32%,M3,Cc1ncc(CO)c(CNC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1O
M13,63,0,36,1,,97%,M4,Cc(ccc1ccccc11)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
M14,36,31,0,33,amine,0%,M5,Cc1cc(Br)cc(C)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
M15,55,36,5,4,,11%,M6,CC(C)c1cccc(C(C)C)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
M16,69,0,31,0,,100%,M7,CCCc1nn(C)c(C(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)=O)c1N
M17,57,,33,10,,77%,M8,CCc(ccc([N+]([O-])=O)c1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
M18,64,0,34,2,,94%,M9,[O-][N+](c1cncc(Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
N1,42,17,19,22,amine 20%,33%,N1,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1n[nH]c(cc2)c1cc2Br
N2,63,0,37,0,,100%,N10,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)C(c2ccccc2)c2c1cccc2
N3,25,15,19,41,amine,25%,N11,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(Br)ncc1
N4,44,3,53,0,,95%,N12,CN(CC1)CCN1c(ccc(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1)c1F
N5,36,32,3,29,amine 29%,5%,N13,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1cc(C(F)(F)F)cc(Br)c1
N6,42,23,34,1,,59%,N14,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(Br)c1F)ccc1F
N7,33,35,0,32,,0%,N15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccnc1)c1I
N8,49,51,0,0,,0%,N16,O[C@H]([C@@H](c1ccccc1)NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)c1ccccc1
N9,60,0,40,0,,100%,N17,CCn1c(ccc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c2)c2c2c1cccc2
N10,71,0,29,0,,100%,N18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(nnc(Cl)c1)c1Br
N11,50,50,0,0,,0%,N2,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCC(c1cnccc1)N1CCOCC1
N12,45,5,50,0,,91%,N3,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cccc1C(NN2)=O)c1C2=O
N13,38,36,26,0,,42%,N4,CCC(CCC(N1C(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)=O)(c(cc2)ccc2N)C1=O
N14,40,40,19,1,,32%,N5,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cnc1Br
N15,50,50,0,0,,0%,N6,CC(Nc(cc1)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1OC)=O
N16,50,2,21,27,ester 15%,42%,N7,Cc(nc1)cn1-c1cc(C(F)(F)F)cc(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1
N17,29,0,45,26,,63%,N8,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1c2[nH]cnc2nc(Cl)n1
N18,35,34,0,31,amine,0%,N9,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCCCN(CC1)CCS1(=O)=O
O1,32,27,0,41,,0%,O1,[O-][N+](c1cc(F)cc(F)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
O2,43,0,37,20,,65%,O10,Cc(nc(cc1)NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1Br
O3,38,0,51,11,,82%,O11,CN(Cc(cccc1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)C1CCCCC1
O4,40,16,25,19,,42%,O12,CC(C)(C)OC(N(CC1)CCC1N(C)C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
O5,29,19,24,28,,34%,O13,Cc1cc(F)cc(Br)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
O6,32,31,,37,,0%,O14,[O-][N+](c(cc1)cc(Cl)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
O7,42,5,51,2,,88%,O15,CC(C)(C)OC(NC(C1)CN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
O8,36,34,0,30,amine 29%,0%,O16,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(nc1Cl)cnc1Br
O9,44,9,40,7,,71%,O17,N[C@@H](Cc(cc1)ccc1O)C(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
O10,41,35,21,3,,36%,O18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1nc(Cl)nc(Cl)c1
O11,52,4,37,7,,77%,O2,CN(C)C(CN(CC1)CCN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
O12,63,0,37,0,,100%,O3,CC(Nc(cc1)ccc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
O13,43,40,0,17,amine,0%,O4,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1I
O14,23,15,0,62,amine 58%,0%,O5,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1ccc(cc(cc2)Br)c2c1
O15,62,0,38,0,,100%,O6,N#Cc(c(NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)ccc1)c1Cl
O16,31,28,0,41,amine,0%,O7,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)ccc1N(CCOC1)C1=O
O17,56,3,41,0,,93%,O8,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ncnc1Cl)c1Cl
O18,38,34,0,28,amine,0%,O9,CC(N(C)N(C1=O)c2ccccc2)=C1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
P1,54,4,34,8,,74%,P1,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1C(OCc1ccccc1)=O
P2,49,46,0,5,,0%,P10,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(cc1)cc(Cl)c1OCc1ncccc1
P3,45,41,0,14,,0%,P11,CNC(c(cccc1)c1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
P4,45,21,20,14,,36%,P12,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)NCc1cccc(Br)c1
P5,49,35,7,9,,14%,P13,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCN1C(c1ccco1)=O
P6,52,0,48,0,,100%,P14,NC(c1c(NC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)sc2c1CCCC2)=O
P7,65,0,35,0,,100%,P15,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1nnc(C(F)(F)F)s1
P8,29,28,0,43,amine,0%,P16,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc1nccnc11)c1Br
P9,36,34,0,30,amine,0%,P17,CC(C)(C)OC(N(C)C(CC1)CN1C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O)=O
P10,41,34,3,22,,5%,P18,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc1ccc(C(F)(F)F)cc1
P11,40,41,0,19,,0%,P2,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(C1CCCCC1)C1CCCCC1
P12,61,0,39,0,,100%,P3,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(c(F)c(cc1F)F)c1F
P13,53,0,47,0,,100%,P4,Cc1nccn1-c(cc1)ccc1NC(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)=O
P14,40,36,0,24,,0%,P5,COc1cccc(CCNC(CN(CC2C(Nc3cncc4ccccc34)=O)Cc(cc3)c2cc3Cl)=O)c1
P15,42,38,1,19,amine,2%,P6,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N(CC1)CCC1NC(c1ccccc1)=O
P16,27,2,0,71,amine,0%,P7,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1
P17,56,0,41,3,,93%,P8,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(sc1ccc2)nc1c2Cl
P18,42,37,1,20,amine,2%,P9,O=C(CN(CC1C(Nc2cncc3ccccc23)=O)Cc(cc2)c1cc2Cl)Nc(ccc(Br)c1Cl)c1Cl